Place,Year
Bragadin o Pinelli (Calle)  a S. Maria Formosa.,1669
Brandolin o Carabba (Ramo)  a S. Marina.,1362
Brandolin o Carabba (Ramo)  a S. Marina.,1767
Brentana (Calle)  a S. Moisè.,1650
"Bressana (Calle, Sottoportico e Corte)  ai SS. Giovanni e Paolo.",1661
"Bressana (Calle, Sottoportico e Corte)  ai SS. Giovanni e Paolo.",1712
Briani (Corte)  a S. Giovanni Nuovo.,1161
Briani (Corte)  a S. Giovanni Nuovo.,1651
Briani (Corte)  a S. Giovanni Nuovo.,1657
Briani (Corte)  a S. Giovanni Nuovo.,1661
Briani (Corte)  a S. Giovanni Nuovo.,1679
Briani (Calle)  all’Angelo Raffaele.,950
Briani (Calle)  all’Angelo Raffaele.,1349
Briani (Calle)  all’Angelo Raffaele.,1363
Briani (Calle)  all’Angelo Raffaele.,1450
Briani (Calle)  all’Angelo Raffaele.,1465
Briani (Calle)  all’Angelo Raffaele.,1535
Briani (Calle)  all’Angelo Raffaele.,1650
Briani (Calle)  all’Angelo Raffaele.,1660
Briani (Calle)  all’Angelo Raffaele.,1661
Briani (Calle)  all’Angelo Raffaele.,1712
Briani (Calle)  all’Angelo Raffaele.,1740
Briani (Calle)  all’Angelo Raffaele.,1849
"Briati (Fondamenta, Ponte)  ai Carmini.",1434
"Briati (Fondamenta, Ponte)  ai Carmini.",1566
"Briati (Fondamenta, Ponte)  ai Carmini.",1730
"Briati (Fondamenta, Ponte)  ai Carmini.",1739
"Burchielle (Rio, Fondamenta del Rio delle)  a S. Andrea.",650
"Burchielle (Rio, Fondamenta del Rio delle)  a S. Andrea.",1503
"Businello (Calle, Sottopo rtico ora Fondamenta)  a S. Apollinare.",1630
"Businello (Calle, Sottopo rtico ora Fondamenta)  a S. Apollinare.",1646
"Businello (Calle, Sottopo rtico ora Fondamenta)  a S. Apollinare.",1698
"Businello (Calle, Sottopo rtico ora Fondamenta)  a S. Apollinare.",1792
"Buso (Traghetto, Fondamenta e Traghetto del) a Rialto.",1697
"Ca’ di Dio (Fondamenta, Ponte, Rio della)  sulla «Riva degli schiavoni».",1272
"Ca’ di Dio (Fondamenta, Ponte, Rio della)  sulla «Riva degli schiavoni».",1360
"Ca’ di Dio (Fondamenta, Ponte, Rio della)  sulla «Riva degli schiavoni».",1570
"Ca’ di Dio (Fondamenta, Ponte, Rio della)  sulla «Riva degli schiavoni».",1623
"Ca’ d’Oro (Calle, Traghetto della)  a S. Sofia.",1424
"Ca’ d’Oro (Calle, Traghetto della)  a S. Sofia.",1430
"Ca’ d’Oro (Calle, Traghetto della)  a S. Sofia.",1431
"Ca’ d’Oro (Calle, Traghetto della)  a S. Sofia.",1484
Ca’ Matta (Calle detta)  a S. Nicolò.,1566
Caffettier (Corte del)  a S. Marco.,1792
Cagnoletto (Calle del)  a S. Giovanni in Brago ra.,1661
Calbo (Campiello)  alla Carità.,891
Calbo (Campiello)  alla Carità.,1297
Calbo (Campiello)  alla Carità.,1470
Calbo (Campiello)  alla Carità.,1539
Calbo (Campiello)  alla Carità.,1711
Calbo (Campiello)  alla Carità.,1740
Calbo (Campiello)  alla Carità.,1827
"Calcina (Ponte, Campiello della)  sulle Zattere.",1690
Calderer (Calle del)  a S. Marziale.,1294
Calderer (Calle del)  a S. Marziale.,1713
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1258
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1300
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1330
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1332
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1364
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1381
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1608
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1629
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1639
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1658
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1660
Caliari (Calle)  sulla «Fondamenta degli Ormesini».,1850
"Calice (Calle, Sottoportico e Corte del)  a S. Salvatore, presso la «Calle dei Stagneri».",1537
"Calice (Calle, Sottoportico e Corte del)  a S. Salvatore, presso la «Calle dei Stagneri».",1568
"Calice (Calle, Sottoportico e Corte del)  a S. Salvatore, presso la «Calle dei Stagneri».",1582
"Calice (Calle, Sottoportico e Corte del)  a S. Salvatore, presso la «Calle dei Stagneri».",1661
